cycle number,ox/red,control changes,Ns changes,time/s,step time/s,Ecell/V,<I>/mA,Capacity/mA.h,Q discharge/mA.h,Q charge/mA.h,dq/mA.h,Efficiency/%,Unnamed: 13
11.0,1,0,0,1275534.175167266,1226.760146241635,2.2433479,1.176434848240446,0.4008873738696839,0.0,0.4008873738696839,0.0002588156971666548,0.0,
11.0,1,0,0,1275534.933167357,1227.518146332353,2.2533946,1.176428908524476,0.4011350775417353,0.0,0.4011350775417353,0.0002477036720514297,0.0,
11.0,1,0,0,1275535.649167443,1228.23414641805,2.2634017,1.176459542911254,0.4013690623010528,0.0,0.4013690623010528,0.000233984759317504,0.0,
11.0,1,0,0,1275536.337167524,1228.922146499157,2.2734089,1.176416216824605,0.4015938885378837,0.0,0.4015938885378837,0.0002248262368308173,0.0,
11.0,1,0,0,1275536.987167604,1229.572146579623,2.2834163,1.176454478024194,0.401806303956045,0.0,0.401806303956045,0.0002124154181612863,0.0,
11.0,1,0,0,1275537.601167675,1230.186146650463,2.2934234,1.17643143084337,0.4020069508954551,0.0,0.4020069508954551,0.0002006469394101037,0.0,
11.0,1,0,0,1275538.191167746,1230.776146721095,2.3034308,1.176421396807154,0.4021997533141242,0.0,0.4021997533141242,0.0001928024186690648,0.0,
11.0,1,0,0,1275538.763167816,1231.34814679157,2.3135955,1.176440349930477,0.4023866766371991,0.0,0.4023866766371991,0.0001869233230749766,0.0,
11.0,1,0,0,1275539.301167879,1231.886146854609,2.3236029,1.17646895462441,0.4025624934071302,0.0,0.4025624934071302,0.0001758167699310515,0.0,
11.0,1,0,0,1275539.813167937,1232.398146912456,2.333689,1.176417509825761,0.4027298061385419,0.0,0.4027298061385419,0.000167312731411722,0.0,
11.0,1,0,0,1275540.307167999,1232.892146974802,2.3438144,1.176393045285076,0.402891233426796,0.0,0.402891233426796,0.0001614272882541021,0.0,
11.0,1,0,0,1275540.775168056,1233.360147031024,2.3538611,1.176449536553047,0.4030441718849208,0.0,0.4030441718849208,0.0001529384581247965,0.0,
11.0,1,0,0,1275541.227168109,1233.812147084624,2.3639076,1.176431284290258,0.4031918793859084,0.0,0.4031918793859084,0.0001477075009875827,0.0,
11.0,1,0,0,1275541.661168158,1234.24614713341,2.3739543,1.176481169633899,0.4033337107428577,0.0,0.4033337107428577,0.0001418313569492764,0.0,
11.0,1,0,0,1275542.077168208,1234.662147182971,2.384001,1.176457742913323,0.4034696569871239,0.0,0.4034696569871239,0.0001359462442662981,0.0,
11.0,1,0,0,1275542.473168258,1235.05814723298,2.3940082,1.176430849862598,0.4035990643969509,0.0,0.4035990643969509,0.0001294074098269145,0.0,
11.0,1,0,0,1275542.859168302,1235.444147277623,2.4040155,1.176448529069296,0.403725205837157,0.0,0.403725205837157,0.0001261414402061039,0.0,
11.0,1,0,0,1275543.229168348,1235.81414732337,2.4140227,1.176449596732844,0.4038461187273263,0.0,0.4038461187273263,0.0001209128901693556,0.0,
11.0,1,0,0,1275543.593168389,1236.178147364408,2.4240301,1.176436923038694,0.4039650695851776,0.0,0.4039650695851776,0.0001189508578512404,0.0,
11.0,1,0,0,1275543.937168431,1236.522147405893,2.4340372,1.176416211560423,0.4040774827033943,0.0,0.4040774827033943,0.0001124131182167265,0.0,
11.0,1,0,0,1275544.275168473,1236.860147448257,2.4442809,1.176474198755598,0.4041879405725664,0.0,0.4041879405725664,0.0001104578691720963,0.0,
11.0,1,0,0,1275544.60116851,1237.186147484928,2.4543276,1.176445565375789,0.4042944742663039,0.0,0.4042944742663039,0.0001065336937374539,0.0,
11.0,1,0,0,1275544.919168547,1237.504147522151,2.4645319,1.176377366427418,0.4043983876125017,0.0,0.4043983876125017,0.00010391334619787,0.0,
11.0,1,0,0,1275545.231168587,1237.816147562116,2.4745784,1.176361153379818,0.4045003389255206,0.0,0.4045003389255206,0.0001019513130187988,0.0,
11.0,1,0,0,1275545.527168622,1238.112147597596,2.4845858,1.176446937975038,0.4045970690186818,0.0,0.4045970690186818,9.673009316126506e-05,0.0,
11.0,1,0,0,1275545.815168653,1238.400147628039,2.4946322,1.176455123376007,0.4046911854385005,0.0,0.4046911854385005,9.411641981866625e-05,0.0,
11.0,1,0,0,1275546.099168688,1238.684147663414,2.5047579,1.17641705899937,0.4047839916847149,0.0,0.4047839916847149,9.28062462144428e-05,0.0,
11.0,1,0,0,1275546.375168721,1238.96014769678,2.5148044,1.176466115453176,0.4048741874311367,0.0,0.4048741874311367,9.019574642181396e-05,0.0,
11.0,1,0,0,1275546.643168753,1239.228147728369,2.5248117,1.176390221881765,0.4049617631579769,0.0,0.4049617631579769,8.757572684023115e-05,0.0,
11.0,1,0,0,1275546.903168784,1239.48814775981,2.5348189,1.176445994795455,0.4050467287123203,0.0,0.4050467287123203,8.496555434332954e-05,0.0,
11.0,1,0,0,1275547.157168813,1239.742147788405,2.5449049,1.176454097172441,0.4051297340940767,0.0,0.4051297340940767,8.300538175635867e-05,0.0,
11.0,1,0,0,1275547.405168844,1239.990147819743,2.5549517,1.176387916052066,0.405210774160756,0.0,0.405210774160756,8.104006667931875e-05,0.0,
11.0,1,0,0,1275547.655168874,1240.240147849545,2.5650771,1.176443942017085,0.4052924716664685,0.0,0.4052924716664685,8.169750571250916e-05,0.0,
11.0,1,0,0,1275547.895168902,1240.480147877708,2.5751238,1.17644499344869,0.4053709013419018,0.0,0.4053709013419018,7.84296754333708e-05,0.0,
11.0,1,0,0,1275548.12916893,1240.714147905819,2.5852492,1.176367893482756,0.405447365264164,0.0,0.405447365264164,7.646392226219178e-05,0.0,
11.0,1,0,0,1275548.361168958,1240.946147933602,2.5952959,1.176441478223435,0.4055231803907288,0.0,0.4055231803907288,7.581512656476762e-05,0.0,
11.0,1,0,0,1275548.585168984,1241.170147959143,2.6053426,1.176453556303906,0.4055963819536897,0.0,0.4055963819536897,7.320156296094259e-05,0.0,
11.0,1,0,0,1275548.807169013,1241.392147988081,2.6153498,1.17642653440702,0.4056689282661013,0.0,0.4056689282661013,7.254631241162618e-05,0.0,
11.0,1,0,0,1275549.023169039,1241.608148014173,2.6254358,1.176369857193169,0.405739510466059,0.0,0.405739510466059,7.058219995763566e-05,0.0,
11.0,1,0,0,1275549.235169064,1241.820148039609,2.6354825,1.176399027955902,0.4058087873060173,0.0,0.4058087873060173,6.927683995829688e-05,0.0,
11.0,1,0,0,1275549.445169088,1242.030148062855,2.645529,1.176460005323262,0.4058774141472578,0.0,0.4058774141472578,6.862684124045902e-05,0.0,
11.0,1,0,0,1275549.649169112,1242.23414808698,2.6555364,1.176393250581924,0.4059440764393409,0.0,0.4059440764393409,6.666229208310445e-05,0.0,
11.0,1,0,0,1275549.851169135,1242.436148110777,2.6656225,1.176466305154334,0.4060100892786847,0.0,0.4060100892786847,6.601283934381273e-05,0.0,
11.0,1,0,0,1275550.051169161,1242.636148136109,2.6758268,1.176507349009626,0.4060754508063528,0.0,0.4060754508063528,6.536152766810523e-05,0.0,
11.0,1,0,0,1275550.247169185,1242.832148160553,2.6859126,1.176455297501426,0.406139502269427,0.0,0.406139502269427,6.405146307415433e-05,0.0,
11.0,1,0,0,1275550.437169205,1243.022148180753,2.6959987,1.176398019198166,0.4062015899492635,0.0,0.4062015899492635,6.208767983648512e-05,0.0,
11.0,1,0,0,1275550.521169217,1243.106148192659,2.7006085,1.176469357950521,0.4062290409048399,0.0,0.4062290409048399,2.745095557636685e-05,0.0,
11.0,1,0,0,1275550.523169218,1243.108148192987,2.7006478,1.177088306129405,0.4062296948428949,0.0,0.4062296948428949,6.539380550384521e-07,0.0,
11.0,1,1,0,1275550.563169219,1243.148148193955,2.700372,1.175670541666975,0.4062427578492298,0.0,0.4062427578492298,1.306300633483463e-05,0.0,
11.0,1,1,0,1275670.563183524,1363.14816249907,2.7003326,0.1197660996051095,0.4102349616453078,0.0,0.4102349616453078,0.003992203796078037,0.0,
11.0,1,1,0,1275790.563197829,1483.148176804185,2.7002933,0.00918806925327328,0.410541230656927,0.0,0.410541230656927,0.0003062690116192162,0.0,
11.0,1,1,0,1275910.563212134,1603.1481911093,2.7002933,0.004573821357675921,0.4106936913870243,0.0,0.4106936913870243,0.0001524607300972639,0.0,
11.0,1,1,0,1276030.563226439,1723.148205414414,2.700372,0.002764740173805096,0.4107858494038039,0.0,0.4107858494038039,9.21580167795936e-05,0.0,
11.0,1,1,0,1276150.563240744,1843.148219719529,2.7003326,0.001879223365093338,0.4108484901901077,0.0,0.4108484901901077,6.264078630380734e-05,0.0,
11.0,1,1,0,1276270.563255049,1963.148234024644,2.7002144,0.001379096493816752,0.410894460078715,0.0,0.410894460078715,4.596988860726217e-05,0.0,
11.0,1,1,0,1276390.563269354,2083.148248329759,2.7004509,0.001067878453363181,0.4109300560314038,0.0,0.4109300560314038,3.55959526888071e-05,0.0,
11.0,0,1,0,1276510.56328366,2203.148262634873,2.7004902,0.0008514054123151919,0.4109584362151975,0.0,0.4109584362151975,2.838018379368754e-05,0.0,
11.0,1,1,0,1276630.563297965,2323.148276939988,2.700372,0.0006954927561519588,0.4109816193098329,0.0,0.4109816193098329,2.318309463537187e-05,0.0,
11.0,0,1,0,1276750.56331227,2443.148291245103,2.7003326,0.000590707467129148,0.4110013095610845,0.0,0.4110013095610845,1.969025125156552e-05,0.0,
11.0,0,1,0,1276870.563326575,2563.148305550218,2.7002537,0.0004924570694554559,0.4110177247986899,0.0,0.4110177247986899,1.641523760536377e-05,0.0,
11.0,1,1,0,1276990.56334088,2683.148319855332,2.700175,0.0004015523351542915,0.411031109878124,0.0,0.411031109878124,1.3385079434102e-05,0.0,
11.0,0,1,0,1277110.563355185,2803.148334160447,2.7004902,0.0003443036517041023,0.4110425866678822,0.0,0.4110425866678822,1.147678975827653e-05,0.0,
11.0,1,1,0,1277230.56336949,2923.148348465562,2.7002537,0.0003114780893192139,0.4110529692720972,0.0,0.4110529692720972,1.038260421500985e-05,0.0,
11.0,1,1,0,1277350.563383795,3043.148362770677,2.7005296,0.0002582107350949498,0.4110615762976264,0.0,0.4110615762976264,8.607025529202271e-06,0.0,
11.0,1,1,0,1277470.5633981,3163.148377075791,2.7003326,0.0002529296589925893,0.4110700072872646,0.0,0.4110700072872646,8.430989638138474e-06,0.0,
11.0,1,1,0,1277590.563412406,3283.148391380906,2.7002144,0.00022528015387159,0.4110775166266221,0.0,0.4110775166266221,7.509339357569236e-06,0.0,
11.0,1,1,0,1277710.563426711,3403.148405686021,2.7004113,0.0001755412457312327,0.4110833680021774,0.0,0.4110833680021774,5.851375555245997e-06,0.0,
11.0,1,1,0,1277830.563441016,3523.148419991136,2.7002933,0.0001520798263351113,0.4110884373303262,0.0,0.4110884373303262,5.069328148814647e-06,0.0,
