"","mode","ox.red","error","control.changes","Ns.changes","counter.inc.","Ns","I.Range","time.s","control.mA","Ewe.V","X.I..mA","dq.mA.h","X.Q.Qo..mA.h","Energy.W.h","Q.charge.discharge.mA.h","half.cycle"
"1461",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14565.9246918443,-1.26699995994568,-0.0461911857128143,-1.26809084415436,-0.00352144044333034,-0.0349142212539249,0.000468951439081921,-0.0316939350886477,8
"1462",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14575.9246923192,-1.26699995994568,-0.0456793643534184,-1.26730346679688,-0.00352145378523403,-0.0384356750391589,0.000469113140159661,-0.0352153888738818,8
"1463",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14585.9246927942,-1.26699995994568,-0.0454037711024284,-1.26809084415436,-0.00352146154854033,-0.0419571365876993,0.000469273310143285,-0.0387368504224221,8
"1464",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14595.9246932692,-1.26699995994568,-0.0452856570482254,-1.26730346679688,-0.00352145793981022,-0.0454785945275095,0.000469432607154697,-0.0422583083622323,8
"1465",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14605.9246937442,-1.26699995994568,-0.044970691204071,-1.26789402961731,-0.00352143759893046,-0.0490000321264399,0.000469591148669875,-0.0457797459611628,8
"1466",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14615.9246942191,-1.26699995994568,-0.0447738356888294,-1.26710665225983,-0.00352146067407396,-0.0525214928005139,0.000469749083833599,-0.0493012066352367,8
"1467",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14625.9246946941,-1.26699995994568,-0.0444982424378395,-1.26769709587097,-0.00352147303322951,-0.0560429658337434,0.000469906387836242,-0.0528226796684662,8
"1468",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14635.9246951691,-1.26699995994568,-0.0444195009768009,-1.26809084415436,-0.00352146187822024,-0.0595644277119637,0.000470063184019745,-0.0563441415466865,8
"1469",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14645.9246956441,-1.26699995994568,-0.0441439040005207,-1.26789402961731,-0.00352148024890158,-0.0630859079608652,0.000470219476165873,-0.0598656217955881,8
"1470",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14655.924696119,-1.26699995994568,-0.0441045314073563,-1.26789402961731,-0.00352147948477003,-0.0666073874456353,0.000470375303046836,-0.0633871012803581,8
"1471",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14665.924696594,-1.26699995994568,-0.0439864210784435,-1.26828765869141,-0.00352146384557088,-0.0701288512912061,0.000470530667803103,-0.066908565125929,8
"1472",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14675.924697069,-1.26699995994568,-0.0439076796174049,-1.26769709587097,-0.00352151491509544,-0.0736503662063016,0.000470685567161596,-0.0704300800410244,8
"1473",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14685.924697544,-1.26699995994568,-0.0436320826411247,-1.26809084415436,-0.00352144951926337,-0.077171815725565,0.000470839969162068,-0.0739515295602878,8
"1474",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14695.9246980189,-1.26699995994568,-0.0437895655632019,-1.26730346679688,-0.00352145072109169,-0.0806932664466567,0.000470994057025543,-0.0774729802813795,8
"1475",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14705.9246984939,-1.26699995994568,-0.043513972312212,-1.26730346679688,-0.00352144930124283,-0.0842147157478995,0.000471147770186195,-0.0809944295826223,8
"1476",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14715.9246989689,-1.26699995994568,-0.043513972312212,-1.26789402961731,-0.00352143453915914,-0.0877361502870586,0.000471301144278956,-0.0845158641217815,8
"1477",1,FALSE,FALSE,FALSE,FALSE,FALSE,1,115,14725.9246994439,-1.26699995994568,-0.0434352308511734,-1.26809084415436,-0.00352152595976988,-0.0912576762468285,0.000471454329831615,-0.0880373900815513,8
