cycle number	ox/red	control changes	Ns changes	time/s	step time/s	Ecell/V	<I>/mA	Capacity/mA.h	Q discharge/mA.h	Q charge/mA.h	dq/mA.h	
0.000000000000000E+000	0	0	0	3.122200148296542E+001	3.122200148296542E+001	1.9051301E+000	-2.882566939981646E-001	1.698465286774768E-003	1.698465286774768E-003	0.000000000000000E+000	-8.775815322995186E-005
0.000000000000000E+000	0	0	0	3.235000153654255E+001	3.235000153654255E+001	1.8951219E+000	-2.883070289796981E-001	1.788801493479146E-003	1.788801493479146E-003	0.000000000000000E+000	-9.033620670437813E-005
0.000000000000000E+000	0	0	0	3.351400159182958E+001	3.351400159182958E+001	1.8851137E+000	-2.882725538364180E-001	1.882009623646736E-003	1.882009623646736E-003	0.000000000000000E+000	-9.320813016759024E-005
0.000000000000000E+000	0	0	0	3.470400164835155E+001	3.470400164835155E+001	1.8751054E+000	-2.883050352387940E-001	1.977310459266106E-003	1.977310459266106E-003	0.000000000000000E+000	-9.530083561937014E-005
0.000000000000000E+000	0	0	0	3.594200170715339E+001	3.594200170715339E+001	1.8650972E+000	-2.883081462914322E-001	2.076456432061063E-003	2.076456432061063E-003	0.000000000000000E+000	-9.914597279495664E-005
0.000000000000000E+000	0	0	0	3.722400176804513E+001	3.722400176804513E+001	1.8550495E+000	-2.882888709739055E-001	2.179119307100773E-003	2.179119307100773E-003	0.000000000000000E+000	-1.026628750397099E-004
0.000000000000000E+000	0	0	0	3.853600183036178E+001	3.853600183036178E+001	1.8450413E+000	-2.882652489249791E-001	2.284175980587800E-003	2.284175980587800E-003	0.000000000000000E+000	-1.050566734870275E-004
0.000000000000000E+000	0	0	0	3.989800189505331E+001	3.989800189505331E+001	1.8350331E+000	-2.883065862841301E-001	2.393251977579461E-003	2.393251977579461E-003	0.000000000000000E+000	-1.090759969916609E-004
0.000000000000000E+000	0	0	0	4.131800196249969E+001	4.131800196249969E+001	1.8249854E+000	-2.882937999165204E-001	2.506967870725526E-003	2.506967870725526E-003	0.000000000000000E+000	-1.137158931460645E-004
0.000000000000000E+000	0	0	0	4.277000203146599E+001	4.277000203146599E+001	1.8149772E+000	-2.882919260386685E-001	2.623245619750685E-003	2.623245619750685E-003	0.000000000000000E+000	-1.162777490251594E-004
0.000000000000000E+000	0	0	0	4.429200210375711E+001	4.429200210375711E+001	1.8049690E+000	-2.882970825813088E-001	2.745131225453483E-003	2.745131225453483E-003	0.000000000000000E+000	-1.218856057027976E-004
0.000000000000000E+000	0	0	0	4.586600217851810E+001	4.586600217851810E+001	1.7949606E+000	-2.882993282020455E-001	2.871182104382250E-003	2.871182104382250E-003	0.000000000000000E+000	-1.260508789287673E-004
0.000000000000000E+000	0	0	0	4.749200225574896E+001	4.749200225574896E+001	1.7849524E+000	-2.883038532337759E-001	3.001399350944493E-003	3.001399350944493E-003	0.000000000000000E+000	-1.302172465622425E-004
0.000000000000000E+000	0	0	0	4.918600233620964E+001	4.918600233620964E+001	1.7749442E+000	-2.883205338800358E-001	3.137070186386506E-003	3.137070186386506E-003	0.000000000000000E+000	-1.356708354420132E-004
0.000000000000000E+000	0	0	0	5.095600242028013E+001	5.095600242028013E+001	1.7649360E+000	-2.883158193247314E-001	3.278825470954180E-003	3.278825470954180E-003	0.000000000000000E+000	-1.417552845676740E-004
0.000000000000000E+000	0	0	0	5.278400250710547E+001	5.278400250710547E+001	1.7548883E+000	-2.883161549629953E-001	3.425226014372376E-003	3.425226014372376E-003	0.000000000000000E+000	-1.464005434181955E-004
0.000000000000000E+000	0	0	0	5.472200259915553E+001	5.472200259915553E+001	1.7448406E+000	-2.883354611413685E-001	3.580446611659395E-003	3.580446611659395E-003	0.000000000000000E+000	-1.552205972870191E-004
0.000000000000000E+000	0	0	0	5.675600269576535E+001	5.675600269576535E+001	1.7348324E+000	-2.883366499517796E-001	3.743356826619970E-003	3.743356826619970E-003	0.000000000000000E+000	-1.629102149605751E-004
0.000000000000000E+000	0	0	0	5.888000279664993E+001	5.888000279664993E+001	1.7247454E+000	-2.883301772691647E-001	3.913471639288796E-003	3.913471639288796E-003	0.000000000000000E+000	-1.701148126688268E-004
0.000000000000000E+000	0	0	0	6.114600290427916E+001	6.114600290427916E+001	1.7146977E+000	-2.883239505088981E-001	4.094955556756920E-003	4.094955556756920E-003	0.000000000000000E+000	-1.814839174681240E-004
0.000000000000000E+000	0	0	0	6.352000301703811E+001	6.352000301703811E+001	1.7046895E+000	-2.883269062878952E-001	4.285091142323282E-003	4.285091142323282E-003	0.000000000000000E+000	-1.901355855663618E-004
0.000000000000000E+000	0	0	0	6.608000313863158E+001	6.608000313863158E+001	1.6946418E+000	-2.883088302297980E-001	4.490110764669047E-003	4.490110764669047E-003	0.000000000000000E+000	-2.050196223457654E-004
0.000000000000000E+000	0	0	0	6.881800326867960E+001	6.881800326867960E+001	1.6846336E+000	-2.883112574457400E-001	4.709387503663698E-003	4.709387503663698E-003	0.000000000000000E+000	-2.192767389946514E-004
