cycle number	ox/red	control changes	Ns changes	time/s	step time/s	Ecell/V	<I>/mA	Capacity/mA.h	Q discharge/mA.h	Q charge/mA.h	dq/mA.h	Efficiency/%	
3.000000000000000E+000	0	1	0	1.210908677463323E+006	6.197922738847323E+003	2.7002144E+000	1.546269306997804E-004	4.649984441299913E-001	0.000000000000000E+000	4.649984441299913E-001	5.154231637758231E-006	0.0000000E+000
3.000000000000000E+000	1	1	0	1.211028677477628E+006	6.317922753152438E+003	2.7001357E+000	1.298066867280140E-004	4.650027710200647E-001	0.000000000000000E+000	4.650027710200647E-001	4.326890073405896E-006	0.0000000E+000
3.000000000000000E+000	1	1	0	1.211148639491930E+006	6.437884767454118E+003	2.7001357E+000	1.293803895648495E-004	4.650070823345489E-001	0.000000000000000E+000	4.650070823345489E-001	4.311314484259836E-006	0.0000000E+000
3.000000000000000E+000	0	0	1	1.211148677491933E+006	0.000000000000000E+000	2.6128676E+000	-3.089642255272552E-002	3.261289342011271E-007	3.261289342011271E-007	0.000000000000000E+000	-3.261289342011271E-007	0.0000000E+000
3.000000000000000E+000	0	0	0	1.211148683491934E+006	6.000000983476639E-003	2.6016390E+000	-5.876369109152850E-001	1.305523946261928E-006	1.305523946261928E-006	0.000000000000000E+000	-9.793950120608011E-007	0.0000000E+000
3.000000000000000E+000	0	0	0	1.211148691491935E+006	1.400000229477882E-002	2.5908043E+000	-5.880307783434010E-001	2.612259223437832E-006	2.612259223437832E-006	0.000000000000000E+000	-1.306735277175903E-006	0.0000000E+000
3.000000000000000E+000	0	0	0	1.211148701491937E+006	2.400000393390656E-002	2.5806789E+000	-5.878338446293430E-001	4.245131281723439E-006	4.245131281723439E-006	0.000000000000000E+000	-1.632872058285607E-006	0.0000000E+000
3.000000000000000E+000	0	0	0	1.211148715491939E+006	3.800000622868538E-002	2.5696867E+000	-5.882277120574589E-001	6.532683870239251E-006	6.532683870239251E-006	0.000000000000000E+000	-2.287552588515812E-006	0.0000000E+000
3.000000000000000E+000	0	0	0	1.211148731491942E+006	5.400000885128975E-002	2.5592461E+000	-5.881784786289443E-001	9.146810870412184E-006	9.146810870412184E-006	0.000000000000000E+000	-2.614127000172933E-006	0.0000000E+000
3.000000000000000E+000	0	0	0	1.211148749491944E+006	7.200001133605838E-002	2.5492389E+000	-5.881620827018990E-001	1.208762168987909E-005	1.208762168987909E-005	0.000000000000000E+000	-2.940810819466909E-006	0.0000000E+000
